cognitive_ability	math_score	english_score	birth_year	studying_time	grade	female	male	income_status	mother_edu	father_edu	sibling_number
-0.457940996	62.26591873	39.24724579	1999	0	9	0	1	3	7	7	0
-0.275207013	42.57917404	57.07941818	1997	1	9	1	0	3	6	6	0
0.975763023	65.64079285	62.25650024	1999	0	9	0	1	2	6	6	0
0.841401994	64.51583099	61.6812706	1999	0	9	1	0	3	3	3	0
0.361923009	74.07797241	51.32710266	1999	6	9	0	1	1	5	5	0
2.148519993	84.76506042	83.54006195	1999	4	9	0	1	3	7	8	0
1.077144027	71.26557922	79.51344299	1998	0	9	0	1	3	6	3	0
0.247380003	51.5788269	62.8317337	1999	2	9	1	0	3	7	2	0
0.180978999	65.07831573	81.8143692	1999	2	9	1	0	3	8	8	0
0.997242987	81.95266724	76.63728333	1998	5	9	1	0	3	6	7	0
0.411049992	53.82874298	58.22988129	1999	3	9	1	0	4	3	3	1
2.165838957	76.32788086	69.15927887	1998	3	9	0	1	3	6	3	0
-0.372593999	48.76643753	73.76113129	1999	6	9	1	0	3	6	5	1
2.419171095	71.26557922	76.0620575	1999	0	9	0	1	3	8	8	0
1.006157041	69.57814026	70.30973816	1999	0	9	0	1	1	3	3	0
0.459668994	71.26557922	78.93820953	1999	6	9	1	0	3	7	7	0
2.098233938	72.39053345	81.8143692	1999	0	9	1	0	3	6	6	0
1.246134043	69.57814026	72.61066437	1999	1	9	0	1	3	6	6	0
0.408051014	73.51548767	82.38960266	1999	0	9	1	0	3	8	4	0
1.261757016	78.57779694	68.58404541	1999	1	9	0	1	3	8	8	0
1.134547949	84.20258331	79.51344299	1999	2	9	0	1	4	9	9	0
0.432646006	57.20361328	49.02617645	1998	3	9	0	1	3	3	6	0
0.224513993	58.32857132	56.50418472	1999	2	9	1	0	3	3	8	0
1.78866601	76.32788086	67.43358612	1999	6	9	1	0	3	8	8	0
-0.439723998	66.20326996	65.13265991	1999	0	9	1	0	3	4	4	0
0.120140001	68.45318604	77.21251678	1999	2	9	0	1	3	8	8	0
1.183874011	80.2652359	75.48682404	1999	0	9	0	1	3	4	7	0
0.253138006	62.26591873	65.13265991	1999	1	9	0	1	3	6	3	0
1.086807966	75.20292664	73.18589783	1999	8	9	1	0	4	4	4	0
0.995576978	74.07797241	65.13265991	1998	2	9	0	1	3	6	7	0
0.209681004	66.76574707	72.03543091	1999	1	9	1	0	3	6	7	0
1.12252605	79.14027405	85.2657547	1999	1	9	1	0	3	8	7	0
-0.441289008	81.39019012	73.18589783	1999	1	9	1	0	3	8	9	0
1.350353003	82.51514435	79.51344299	1999	2	9	1	0	3	7	9	1
2.039186954	76.32788086	78.93820953	1999	0	9	1	0	3	7	7	0
0.008604	78.57779694	80.08867645	1999	0	9	0	1	4	4	7	0
-1.803627968	69.81279755	77.43410492	2000	2	7	0	1	3	6	7	1
0.322970986	77.23857117	70.28053284	2001	1	7	1	0	3	6	3	0
-0.158246994	72.99526978	71.47279358	2000	1	7	1	0	3	7	6	0
0.95974201	60.26537323	61.9346962	2001	0	7	0	1	3	3	3	1
1.033146977	76.177742	71.47279358	2001	5	7	1	0	3	6	6	0
-0.049031999	70.87361908	76.24184418	2001	0	7	0	1	3	4	6	1
1.059551001	67.69114685	61.9346962	2001	8	7	0	1	3	3	6	1
0.798290014	79.36021423	76.24184418	2000	1	7	1	0	3	8	8	0
0.938166022	77.23857117	73.85732269	2000	0	7	0	1	3	7	8	0
0.200613007	75.11692047	73.85732269	2002	0	7	0	1	3	6	8	0
1.349313021	63.44784927	72.66505432	2001	4	7	0	1	3	6	9	0
1.383718967	75.11692047	73.85732269	2000	0	7	1	0	3	4	4	1
0.860086977	43.29218292	65.51148224	2001	0	7	1	0	3	6	8	0
0.536032975	70.87361908	76.24184418	2000	1	7	1	0	3	8	9	0
0.483642012	57.082901	73.85732269	2001	1	7	1	0	3	6	9	0
1.043612003	77.23857117	73.85732269	2001	0	7	1	0	3	8	9	0
0.295511007	72.99526978	73.85732269	2001	2	7	1	0	3	2	3	0
1.46053803	74.05609131	77.43410492	2001	3	7	0	1	3	9	9	0
0.067473002	66.63032532	73.85732269	2001	3	7	1	0	3	7	7	0
0.378722996	59.2045517	61.9346962	2000	0	7	0	1	3	6	7	0
0.543009996	79.36021423	72.66505432	2001	2	7	0	1	3	2	3	1
1.235067964	60.26537323	71.47279358	2000	1	7	0	1	4	4	8	0
1.067553043	68.75196838	75.04958344	2001	0	7	1	0	3	6	6	0
-0.275182009	79.36021423	72.66505432	2001	1	7	0	1	3	8	8	0
0.329490989	71.93444824	75.04958344	2000	2	7	1	0	3	7	7	1
1.389780045	81.48186493	79.81863403	2000	2	7	1	0	3	8	7	0
0.847831011	74.05609131	76.24184418	2001	3	7	1	0	3	4	7	0
1.474833012	68.75196838	79.81863403	2001	0	7	1	0	3	8	7	0
1.652636051	81.48186493	73.85732269	2000	0	7	0	1	3	7	6	0
1.211923003	76.177742	77.43410492	2001	0	7	1	0	3	8	4	0
1.205036044	72.99526978	78.62636566	2001	0	7	1	0	4	7	7	0
-0.125119001	80.4210434	77.43410492	2001	1	7	0	1	3	7	7	0
-0.403901011	68.75196838	76.24184418	2001	1	7	1	0	3	9	7	0
-0.751269996	48.59630585	65.51148224	2001	1	7	1	0	3	7	4	1
0.789359987	68.75196838	75.04958344	2000	0	7	0	1	3	8	8	0
1.22744596	54.96125031	58.35791016	2001	0	7	0	1	4	8	8	3
0.152978003	51.77877808	48.81980896	2000	1	7	0	1	3	8	8	0
1.698243976	79.36021423	79.81863403	2001	0	7	1	0	3	9	8	0
-0.643939972	69.81279755	71.47279358	2001	2	7	1	0	3	6	6	0
0.582009017	61.32619858	77.43410492	2001	0	7	0	1	3	8	8	1
1.364963055	77.23857117	79.81863403	2001	0	7	1	0	3	3	7	0
1.356950045	78.2993927	73.85732269	2001	0	7	1	0	3	3	4	0
1.525640965	77.23857117	79.81863403	2001	1	7	1	0	3	8	7	0
